Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1961","1961","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1962","1962","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1963","1963","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1964","1964","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1965","1965","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1966","1966","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1967","1967","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1968","1968","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1969","1969","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1970","1970","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1971","1971","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1972","1972","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1973","1973","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1974","1974","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1975","1975","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1976","1976","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1977","1977","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1978","1978","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1979","1979","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1980","1980","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1981","1981","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1982","1982","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1983","1983","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1984","1984","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1985","1985","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1986","1986","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1987","1987","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1988","1988","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1989","1989","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1990","1990","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1991","1991","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1992","1992","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1993","1993","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1994","1994","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1995","1995","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1996","1996","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1997","1997","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1998","1998","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","1999","1999","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2000","2000","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2001","2001","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2002","2002","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2003","2003","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2004","2004","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2005","2005","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2006","2006","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2007","2007","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2008","2008","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2009","2009","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2010","2010","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2011","2011","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2012","2012","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2013","2013","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2014","2014","1000 ha","278040","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2015","2015","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2016","2016","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2017","2017","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2018","2018","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6600","Country area","2019","2019","1000 ha","278040","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1961","1961","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1962","1962","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1963","1963","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1964","1964","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1965","1965","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1966","1966","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1967","1967","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1968","1968","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1969","1969","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1970","1970","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1971","1971","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1972","1972","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1973","1973","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1974","1974","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1975","1975","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1976","1976","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1977","1977","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1978","1978","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1979","1979","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1980","1980","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1981","1981","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1982","1982","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1983","1983","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1984","1984","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1985","1985","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1986","1986","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1987","1987","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1988","1988","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1989","1989","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1990","1990","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1991","1991","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1992","1992","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1993","1993","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1994","1994","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1995","1995","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1996","1996","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1997","1997","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1998","1998","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","1999","1999","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2000","2000","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2001","2001","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2002","2002","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2003","2003","1000 ha","273669","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2004","2004","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2005","2005","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2006","2006","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2007","2007","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2008","2008","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2009","2009","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2010","2010","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2011","2011","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2012","2012","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2013","2013","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2014","2014","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2015","2015","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2016","2016","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2017","2017","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2018","2018","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6601","Land area","2019","2019","1000 ha","273669","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1961","1961","1000 ha","137829","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1962","1962","1000 ha","136434","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1963","1963","1000 ha","134875","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1964","1964","1000 ha","133297","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1965","1965","1000 ha","131780","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1966","1966","1000 ha","130948","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1967","1967","1000 ha","129703","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1968","1968","1000 ha","129235","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1969","1969","1000 ha","129302","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1970","1970","1000 ha","129280","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1971","1971","1000 ha","129154","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1972","1972","1000 ha","129028","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1973","1973","1000 ha","128902","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1974","1974","1000 ha","128776","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1975","1975","1000 ha","128650","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1976","1976","1000 ha","128524","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1977","1977","1000 ha","128398","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1978","1978","1000 ha","128272","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1979","1979","1000 ha","128146","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1980","1980","1000 ha","128020","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1981","1981","1000 ha","127894","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1982","1982","1000 ha","128769","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1983","1983","1000 ha","128644","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1984","1984","1000 ha","128517","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1985","1985","1000 ha","128391","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1986","1986","1000 ha","128265","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1987","1987","1000 ha","127939","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1988","1988","1000 ha","127380","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1989","1989","1000 ha","127470","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1990","1990","1000 ha","127565","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1991","1991","1000 ha","127660","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1992","1992","1000 ha","127755","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1993","1993","1000 ha","127850","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1994","1994","1000 ha","127948","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1995","1995","1000 ha","128045","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1996","1996","1000 ha","128142","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1997","1997","1000 ha","128235","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1998","1998","1000 ha","128330","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","1999","1999","1000 ha","128412","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2000","2000","1000 ha","128510","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2001","2001","1000 ha","128606","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2002","2002","1000 ha","128710","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2003","2003","1000 ha","129103.3","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2004","2004","1000 ha","129496.6","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2005","2005","1000 ha","129920.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2006","2006","1000 ha","130138.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2007","2007","1000 ha","129968.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2008","2008","1000 ha","127046.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2009","2009","1000 ha","124328.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2010","2010","1000 ha","126267.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2011","2011","1000 ha","125318.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2012","2012","1000 ha","124741.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2013","2013","1000 ha","122937.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2014","2014","1000 ha","120012.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2015","2015","1000 ha","117088.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2016","2016","1000 ha","114163.9","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2017","2017","1000 ha","111239.4","Fc","Calculated data"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2018","2018","1000 ha","108381.7597","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6602","Agriculture","2019","2019","1000 ha","108381.7597","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1961","1961","1000 ha","137829","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1962","1962","1000 ha","136434","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1963","1963","1000 ha","134875","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1964","1964","1000 ha","133297","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1965","1965","1000 ha","131780","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1966","1966","1000 ha","130948","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1967","1967","1000 ha","129703","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1968","1968","1000 ha","129235","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1969","1969","1000 ha","129302","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1970","1970","1000 ha","129280","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1971","1971","1000 ha","129154","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1972","1972","1000 ha","129028","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1973","1973","1000 ha","128902","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1974","1974","1000 ha","128776","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1975","1975","1000 ha","128650","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1976","1976","1000 ha","128524","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1977","1977","1000 ha","128398","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1978","1978","1000 ha","128272","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1979","1979","1000 ha","128146","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1980","1980","1000 ha","128020","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1981","1981","1000 ha","127894","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1982","1982","1000 ha","128769","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1983","1983","1000 ha","128644","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1984","1984","1000 ha","128517","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1985","1985","1000 ha","128391","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1986","1986","1000 ha","128265","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1987","1987","1000 ha","127939","F","FAO estimate"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1988","1988","1000 ha","127380","Q","Official data reported on FAO Questionnaires from countries"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1989","1989","1000 ha","127470","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1990","1990","1000 ha","127565","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1991","1991","1000 ha","127660","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1992","1992","1000 ha","127755","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1993","1993","1000 ha","127850","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1994","1994","1000 ha","127948","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1995","1995","1000 ha","128045","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1996","1996","1000 ha","128142","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1997","1997","1000 ha","128235","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1998","1998","1000 ha","128330","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","1999","1999","1000 ha","128412","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2000","2000","1000 ha","128510","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2001","2001","1000 ha","128606","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2002","2002","1000 ha","128710","W","Data reported on country official publications or web sites (Official) or trade country files"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2003","2003","1000 ha","129103.3","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2004","2004","1000 ha","129496.6","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2005","2005","1000 ha","129920.9","Fm","Manual Estimation"
"RL","Land Use","9","Argentina","5110","Area","6610","Agricultural land","2006","2006","1000 ha","130138.9","Fm","Manual Estimation"
